sex race time.infect infector.race seed
1 1 2183 1 234
1 1 2060 1 166
1 1 1 1 166
1 1 1821 1 157
1 1 3361 1 166
1 1 3202 1 166
1 1 3479 1 166
1 1 3600 1 166
1 1 2902 1 157
1 1 2340 1 166
1 1 3462 1 157
1 1 1650 1 188
1 1 3423 1 212
1 1 2618 1 157
1 1 3541 1 188
1 1 2987 1 157
1 1 2882 1 157
1 1 2219 1 188
1 1 2727 1 157
1 1 3257 1 157
1 1 1120 1 166
1 1 3545 1 234
1 1 3359 1 234
1 1 2170 1 212
1 1 1935 1 166
1 1 1733 1 212
1 1 3441 1 188
1 1 2474 1 157
1 1 2724 1 157
1 1 1631 1 157
1 1 1838 1 157
1 1 3475 1 166
1 1 1919 1 166
1 1 3074 1 166
1 1 2644 1 157
1 1 2532 1 166
1 1 3323 1 212
1 1 2349 1 166
1 1 2038 1 157
1 1 3534 1 166
1 1 2982 1 166
1 1 3323 1 166
1 1 3051 1 157
1 1 2828 1 157
1 1 2377 1 166
1 1 3054 1 166
1 1 2559 1 166
1 1 2778 1 234
1 1 1933 1 166
1 1 1401 1 157
1 1 328 1 234
1 1 1227 1 212
1 1 1729 1 166
1 1 2640 1 157
1 1 2340 1 166
1 1 2072 1 157
1 1 3275 1 157
1 1 2440 1 166
1 1 3595 1 166
1 1 1260 1 166
1 1 2701 1 166
1 1 2678 1 166
1 1 3508 1 234
1 1 3362 1 212
1 1 1088 1 157
1 1 3245 1 166
1 1 2982 1 157
1 1 3150 1 157
1 1 425 1 157
1 1 2882 1 157
1 1 3 1 157
1 1 3012 1 212
1 1 3037 1 157
1 1 462 1 157
1 1 3534 1 166
1 1 2882 1 157
1 1 2394 1 234
1 1 1668 1 166
1 1 2950 1 212
1 1 3506 1 166
1 1 3088 1 166
1 1 2397 1 212
1 1 3536 1 166
1 1 3383 1 212
1 1 3331 1 166
1 1 2403 1 166
1 1 1 1 212
1 1 3480 1 234
1 1 3488 1 166
1 1 2916 1 188
